"Order","Symbol","Name","Current Price","Price $ Chg","Price % Chg","% Off High","Vol % Chg vs 50-Day","50-Day Avg Vol (1000s)","50-Day Avg $ Vol (1000s)","Market Cap (mil)","Comp Rating","EPS Rating","RS Rating","A/D Rating","SMR Rating","Ind Group Rank","Industry Name","IPO Date"
"1","SMCI","Super Micro Computer","860.01","-115.51","-11.8","-20.21","97.1","9835","8178867","48102.9","99","94","99","A+","A","1","Computer-Hardware/Perip","2007-03-29"
"2","DECK","Deckers Outdoor","880.48","-3.58","-0.4","-2.57","-32.6","341","302092","22600.2","99","99","96","B+","A","2","Apparel-Shoes & Rel Mfg","1993-10-15"
"3","BIRK","Birkenstock Holding","52","0.7","1.4","-5.45","-50.4","834","43342","9501.5","94","60","87","C+","B","2","Apparel-Shoes & Rel Mfg","2023-10-11"
"4","CROX","Crocs","118.31","1.02","0.9","-21.81","-45.7","1643","193886","7157.5","93","90","77","B","A","2","Apparel-Shoes & Rel Mfg","2006-02-08"
"5","ONON","On Holding","32.2","-0.06","-0.2","-13.16","-40.7","5057","162651","10243.8","93","41","84","B+","A","2","Apparel-Shoes & Rel Mfg","2021-09-15"
"6","NVDA","NVIDIA","788.17","2.79","0.4","0.31","75.6","47241","36730771","1946779.9","99","99","98","B","A","3","Elec-Semicondctor Fablss","1999-01-22"
"7","AMD","Advanced Micro Devices","176.52","-5.34","-2.9","-4.54","-8.8","75893","13500796","285218.5","99","92","96","B+","C","3","Elec-Semicondctor Fablss","1972-09-27"
"8","ARM","Arm Holdings ADR","133.34","4.81","3.7","-18.7","25.2","16231","2130466","136704.7","99","99","98","A+","A","3","Elec-Semicondctor Fablss","2023-09-14"
"9","QCOM","Qualcomm","154.91","0.16","0.1","-1.94","-34.2","9049","1417519","172879.6","98","88","89","A-","B","3","Elec-Semicondctor Fablss","1991-12-13"
"10","AVGO","Broadcom","1296.37","-8.53","-0.7","-1.11","-27.3","3180","4325597","606882.7","96","88","96","A-","A","3","Elec-Semicondctor Fablss","2009-08-06"
"11","MPWR","Monolithic Power Systems","721.13","-20.17","-2.7","-5.3","5.2","536","384795","34550.8","95","83","92","B+","A","3","Elec-Semicondctor Fablss","2004-11-19"
"12","MRVL","Marvell Technology","67.58","-2.29","-3.3","-8.09","-27.4","11770","802661","58422.9","90","57","86","A","B","3","Elec-Semicondctor Fablss","2000-06-27"
"13","NBIX","Neurocrine Biosciences","134.18","0.81","0.6","-6.4","-33.6","816","109222","13351.8","99","93","88","B","A","4","Medical-Biomed/Biotech","1996-05-23"
"14","ALKS","Alkermes","29.57","0.66","2.3","-10.07","-24","2456","72878","4934.7","98","96","78","B","A","4","Medical-Biomed/Biotech","1991-07-15"
"15","CRSP","CRISPR Therapeutics","83.99","-2.2","-2.6","-7.8","-14.4","2391","212267","6671.5","97","68","93","A+","C","4","Medical-Biomed/Biotech","2016-10-19"
"16","VRTX","Vertex Pharmaceuticals","430.11","3.33","0.8","-4.08","-52.6","1581","684649","111100.4","96","91","88","C+","A","4","Medical-Biomed/Biotech","1991-07-24"
"17","ALPN","Alpine Immune Sciences","33.92","0.81","2.4","1.31","-24.3","1037","35219","1970.7","96","53","99","A+","E","4","Medical-Biomed/Biotech","2015-06-17"
"18","SRPT","Sarepta Therapeutics","136.53","1.75","1.3","-14.61","-53.8","1234","170293","12771.8","94","67","90","A","D","4","Medical-Biomed/Biotech","1997-06-04"
"19","REGN","Regeneron Pharmaceuticals","981.2","16.31","1.7","0.74","-24.8","584","573609","106897.8","91","77","86","B-","A","4","Medical-Biomed/Biotech","1991-04-02"
"20","VCEL","Vericel","47.32","-0.99","-2","-5.53","-53","604","28586","2258.3","91","50","93","A-","D","4","Medical-Biomed/Biotech","1997-02-04"
