Symbol,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
LIN,LINDE PLC,Materials,Equity,129054958.08,20.56,129054958.08,277944,464.32,United States,NASDAQ,USD,1,USD,-
FCX,FREEPORT MCMORAN INC,Materials,Equity,44047771.76,7.02,44047771.76,936788,47.02,United States,New York Stock Exchange Inc.,USD,1,USD,-
ECL,ECOLAB INC,Materials,Equity,37496543.7,5.97,37496543.7,162393,230.9,United States,New York Stock Exchange Inc.,USD,1,USD,-
APD,AIR PRODUCTS AND CHEMICALS INC,Materials,Equity,35298981.27,5.62,35298981.27,145701,242.27,United States,New York Stock Exchange Inc.,USD,1,USD,-
NUE,NUCOR CORP,Materials,Equity,32936892.8,5.25,32936892.8,166432,197.9,United States,New York Stock Exchange Inc.,USD,1,USD,-
FAST,FASTENAL,Industrials,Equity,27717250.54,4.41,27717250.54,359311,77.14,United States,NASDAQ,USD,1,USD,-
NEM,NEWMONT,Materials,Equity,26849894.4,4.28,26849894.4,749160,35.84,United States,New York Stock Exchange Inc.,USD,1,USD,-
DOW,DOW INC,Materials,Equity,26277337.65,4.19,26277337.65,453605,57.93,United States,New York Stock Exchange Inc.,USD,1,USD,-
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials,Equity,20266270.6,3.23,20266270.6,198145,102.28,United States,New York Stock Exchange Inc.,USD,1,USD,-
STLD,STEEL DYNAMICS INC,Materials,Equity,19666859.94,3.13,19666859.94,132678,148.23,United States,NASDAQ,USD,1,USD,-
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materials,Equity,19119188.58,3.05,19119188.58,222342,85.99,United States,New York Stock Exchange Inc.,USD,1,USD,-
RS,RELIANCE STEEL & ALUMINUM,Materials,Equity,16615095.42,2.65,16615095.42,49719,334.18,United States,New York Stock Exchange Inc.,USD,1,USD,-
AVY,AVERY DENNISON CORP,Materials,Equity,15693582,2.5,15693582,70296,223.25,United States,New York Stock Exchange Inc.,USD,1,USD,-
CE,CELANESE CORP,Materials,Equity,14786490.68,2.36,14786490.68,86038,171.86,United States,New York Stock Exchange Inc.,USD,1,USD,-
CF,CF INDUSTRIES HOLDINGS INC,Materials,Equity,13945247.11,2.22,13945247.11,167591,83.21,United States,New York Stock Exchange Inc.,USD,1,USD,-
ALB,ALBEMARLE CORP,Materials,Equity,13430629.52,2.14,13430629.52,101948,131.74,United States,New York Stock Exchange Inc.,USD,1,USD,-
IP,INTERNATIONAL PAPER,Materials,Equity,11764725.1,1.87,11764725.1,301505,39.02,United States,New York Stock Exchange Inc.,USD,1,USD,-
EMN,EASTMAN CHEMICAL,Materials,Equity,10344407.74,1.65,10344407.74,103217,100.22,United States,New York Stock Exchange Inc.,USD,1,USD,-
CLF,CLEVELAND CLIFFS INC,Materials,Equity,9859859.34,1.57,9859859.34,433591,22.74,United States,New York Stock Exchange Inc.,USD,1,USD,-
MOS,MOSAIC,Materials,Equity,9203805.78,1.47,9203805.78,283543,32.46,United States,New York Stock Exchange Inc.,USD,1,USD,-
SCCO,SOUTHERN COPPER CORP,Materials,Equity,7908470.88,1.26,7908470.88,74244,106.52,Peru,New York Stock Exchange Inc.,USD,1,USD,-
X,US STEEL CORP,Materials,Equity,7860915.92,1.25,7860915.92,192764,40.78,United States,New York Stock Exchange Inc.,USD,1,USD,-
RGLD,ROYAL GOLD INC,Materials,Equity,6951696.7,1.11,6951696.7,57070,121.81,United States,NASDAQ,USD,1,USD,-
FMC,FMC CORP,Materials,Equity,6924699.6,1.1,6924699.6,108708,63.7,United States,New York Stock Exchange Inc.,USD,1,USD,-
RBC,RBC BEARINGS INC,Industrials,Equity,6651961.75,1.06,6651961.75,24605,270.35,United States,New York Stock Exchange Inc.,USD,1,USD,-
OLN,OLIN CORP,Materials,Equity,6144776.4,0.98,6144776.4,104503,58.8,United States,New York Stock Exchange Inc.,USD,1,USD,-
HXL,HEXCEL CORP,Industrials,Equity,5343547.5,0.85,5343547.5,73350,72.85,United States,New York Stock Exchange Inc.,USD,1,USD,-
