Symbol,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"AAPL","APPLE INC","Information Technology","Equity","1,125,625,907.56","8.89","1,125,625,907.56","5,876,101.00","191.56","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,119,478,516.11","8.84","1,119,478,516.11","2,808,033.00","398.67","United States","NASDAQ","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","606,505,612.50","4.79","606,505,612.50","3,904,375.00","155.34","United States","NASDAQ","USD"
"NVDA","NVIDIA CORP","Information Technology","Equity","555,173,581.46","4.39","555,173,581.46","933,206.00","594.91","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","552,094,028.80","4.36","552,094,028.80","455,824.00","1,211.20","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","511,572,915.40","4.04","511,572,915.40","1,334,132.00","383.45","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","385,758,237.15","3.05","385,758,237.15","1,817,985.00","212.19","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","327,296,165.30","2.59","327,296,165.30","2,235,935.00","146.38","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","320,060,293.76","2.53","320,060,293.76","2,163,008.00","147.97","United States","NASDAQ","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","300,259,703.59","2.37","300,259,703.59","432,047.00","694.97","United States","NASDAQ","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","274,673,072.31","2.17","274,673,072.31","1,576,497.00","174.23","United States","NASDAQ","USD"
"ADBE","ADOBE INC","Information Technology","Equity","271,715,945.85","2.15","271,715,945.85","444,307.00","611.55","United States","NASDAQ","USD"
"PEP","PEPSICO INC","Consumer Staples","Equity","222,422,218.38","1.76","222,422,218.38","1,341,671.00","165.78","United States","NASDAQ","USD"
"NFLX","NETFLIX INC","Communication","Equity","206,275,189.25","1.63","206,275,189.25","427,115.00","482.95","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","203,305,699.11","1.61","203,305,699.11","3,965,393.00","51.27","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","198,100,752.30","1.56","198,100,752.30","4,114,242.00","48.15","United States","NASDAQ","USD"
"TMUS","T MOBILE US INC","Communication","Equity","186,390,987.68","1.47","186,390,987.68","1,128,548.00","165.16","United States","NASDAQ","USD"
"INTU","INTUIT INC","Information Technology","Equity","169,967,754.58","1.34","169,967,754.58","273,181.00","622.18","United States","NASDAQ","USD"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","169,876,425.30","1.34","169,876,425.30","3,918,718.00","43.35","United States","NASDAQ","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","165,048,770.68","1.30","165,048,770.68","1,086,133.00","151.96","United States","NASDAQ","USD"
"AMGN","AMGEN INC","Health Care","Equity","160,752,849.07","1.27","160,752,849.07","522,247.00","307.81","United States","NASDAQ","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","153,902,869.30","1.22","153,902,869.30","886,282.00","173.65","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","137,095,635.78","1.08","137,095,635.78","816,337.00","167.94","United States","NASDAQ","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","129,168,198.96","1.02","129,168,198.96","643,332.00","200.78","United States","NASDAQ","USD"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","128,845,874.28","1.02","128,845,874.28","343,754.00","374.82","United States","NASDAQ","USD"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","123,163,864.56","0.97","123,163,864.56","34,056.00","3,616.51","United States","NASDAQ","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","109,497,579.14","0.86","109,497,579.14","251,707.00","435.02","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","106,392,005.28","0.84","106,392,005.28","128,754.00","826.32","United States","NASDAQ","USD"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","106,279,677.63","0.84","106,279,677.63","1,217,547.00","87.29","United States","NASDAQ","USD"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","104,193,328.98","0.82","104,193,328.98","1,110,093.00","93.86","United States","NASDAQ","USD"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","104,072,216.82","0.82","104,072,216.82","308,143.00","337.74","United States","NASDAQ","USD"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","97,757,782.20","0.77","97,757,782.20","104,733.00","933.40","United States","NASDAQ","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","96,898,732.05","0.77","96,898,732.05","1,330,113.00","72.85","United States","NASDAQ","USD"
