Symbol,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","30,123,024,403.98","7.28","30,123,024,403.98","75,558,794.00","398.67","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","28,471,073,555.76","6.88","28,471,073,555.76","148,627,446.00","191.56","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","14,938,653,534.89","3.61","14,938,653,534.89","25,110,779.00","594.91","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","14,361,496,476.12","3.47","14,361,496,476.12","92,452,018.00","155.34","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","8,806,853,454.36","2.13","8,806,853,454.36","60,164,322.00","146.38","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","8,652,640,894.55","2.09","8,652,640,894.55","22,565,239.00","383.45","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","7,492,599,006.01","1.81","7,492,599,006.01","50,635,933.00","147.97","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","6,788,233,113.48","1.64","6,788,233,113.48","18,497,052.00","366.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","5,966,056,261.44","1.44","5,966,056,261.44","28,116,576.00","212.19","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","5,404,878,259.20","1.31","5,404,878,259.20","4,462,416.00","1,211.20","United States","NASDAQ","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","5,095,795,601.46","1.23","5,095,795,601.46","8,106,837.00","628.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","5,005,571,842.95","1.21","5,005,571,842.95","29,390,945.00","170.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","4,735,041,149.92","1.14","4,735,041,149.92","9,403,132.00","503.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","4,389,974,864.10","1.06","4,389,974,864.10","16,205,149.00","270.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,956,823,580.72","0.96","3,956,823,580.72","24,473,179.00","161.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","3,948,093,492.70","0.95","3,948,093,492.70","40,722,986.00","96.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","3,684,617,033.85","0.89","3,684,617,033.85","10,166,985.00","362.41","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","3,677,087,027.50","0.89","3,677,087,027.50","8,418,625.00","436.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
