,SEDOL,HOLDINGS,Symbol,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE,SHARES
,2588173,Microsoft Corp,MSFT,6.28%,Software,US,---,"$92,876,385,666.60","233,604,270"
,2046251,Apple Inc,AAPL,5.79%,"Technology Hardware, Storage & Peripherals",US,---,"$85,635,652,274.00","464,401,585"
,2379504,NVIDIA Corp,NVDA,3.07%,Semiconductors & Semiconductor Equipment,US,---,"$45,378,731,252.25","73,754,175"
,2000019,Amazon.com Inc,AMZN,3.07%,Broadline Retail,US,---,"$45,371,238,305.60","292,340,453"
,B7TL820,Meta Platforms Inc,META,1.84%,Interactive Media & Services,US,---,"$27,217,908,765.24","69,764,466"
,BYVY8G0,Alphabet Inc,GOOGL,1.76%,Interactive Media & Services,US,---,"$26,066,903,727.00","186,059,270"
,BYY88Y7,Alphabet Inc,GOOG,1.47%,Interactive Media & Services,US,---,"$21,681,795,140.80","152,904,056"
,2073390,Berkshire Hathaway Inc,BRK/B,1.45%,Financial Services,US,---,"$21,446,147,988.16","55,887,184"
,2516152,Eli Lilly & Co,LLY,1.17%,Pharmaceuticals,US,---,"$17,339,676,524.59","26,857,819"
,BDZ78H9,Broadcom Inc,AVGO,1.11%,Semiconductors & Semiconductor Equipment,US,---,"$16,459,176,900.00","13,948,455"
,B616C79,Tesla Inc,TSLA,1.08%,Automobiles,US,---,"$15,907,016,727.63","84,932,547"
,2190385,JPMorgan Chase & Co,JPM,1.07%,Banks,US,---,"$15,840,576,881.88","90,849,833"
,2917766,UnitedHealth Group Inc,UNH,1.01%,Health Care Providers & Services,US,---,"$14,877,187,579.80","29,071,770"
,B2PZN04,Visa Inc,V,0.91%,Financial Services,US,---,"$13,454,016,763.72","49,235,222"
,2326618,Exxon Mobil Corp,XOM,0.87%,"Oil, Gas & Consumable Fuels",US,---,"$12,945,226,667.61","125,914,081"
,2475833,Johnson & Johnson,JNJ,0.81%,Pharmaceuticals,US,---,"$12,024,009,557.70","75,670,293"
,B121557,Mastercard Inc,MA,0.80%,Financial Services,US,---,"$11,815,341,534.37","26,301,319"
,2704407,Procter & Gamble Co/The,PG,0.79%,Household Products,US,---,"$11,639,847,876.84","74,073,106"
,2434209,Home Depot Inc/The,HD,0.75%,Specialty Retail,US,---,"$11,035,771,248.96","31,266,351"
